"BRANCH";"AZ";"BZ";"CA";"CB";"CC";"CD";"CE";"CF";"CG";"CH";"CI";"CJ";"CK";"CL";"CM";"DZ";"EZ";"FZ";"GZ";"HZ";"IZ";"JA";"JB";"JC";"KZ";"LZ";"MA";"MB";"MC";"NZ";"OZ";"PZ";"QA";"QB";"RZ";"SZ";"TZ"
"HZ";0;0;0;0;0;0;0;0;0;0;0.0144072519454821;0;0.195020850517928;0.411565420745093;0;0;0;0.231483019181267;0;0;0;0;0;0;0;0;0;0.0863157020675911;0;0;0;0;0;0;0;0;0
"IZ";0;0;0;0;0;0;0;0;0;0;0.0269759383229665;0;0.256542089583926;0.0435079659768994;0;0;0;0.554493713897384;0;0;0;0;0;0;0;0;0;0.0364424057084608;0;0;0;0;0;0;0;0;0
"JA";0;0;0;0;0;0;0;0;0;0;0.00534587338258679;0;0.0425171233971282;0.00725209133205045;0;0;0;0.0240593918259477;0;0;0;0;0;0;0;0;0;0.91658168020967;0;0;0;0;0;0;0;0;0
"JB";0;0;0;0;0;0;0;0;0;0;0.126575780950368;0;0.394660368356516;0.0500819622186326;0;0;0;0.0802025531398769;0;0;0;0;0;0;0;0;0;0.290973043451894;0;0;0;0;0;0;0;0;0
"JC";0;0;0;0;0;0;0;0;0;0;0.0103374270679454;0;0.0529767032618392;0.00656095960372964;0;0;0;0.0210119362360549;0;0;0;0;0;0;0;0;0;0.907734715636729;0;0;0;0;0;0;0;0;0
"KZ";0;0;0;0;0;0;0;0;0;0;0.0883830042306946;0;0.118469385218551;0.0128194293255348;0;0;0;0.388767964587502;0;0;0;0;0;0;0;0;0;0.391560216637718;0;0;0;0;0;0;0;0;0
"LZ";0;0;0;0;0;0;0;0;0;0;0.0000111315274692935;0;0.00105976649602911;0.0000486527509016161;0;0;0;0.130599730402494;0;0;0;0;0;0;0;0;0;0.00337203628815508;0;0;0;0;0;0;0;0;0
"MA";0;0;0;0;0;0;0;0;0;0;0.00963562546172422;0;0.107438252500056;0.0513129891972195;0;0;0;0.177640359462586;0;0;0;0;0;0;0;0;0;0.635206275765934;0;0;0;0;0;0;0;0;0
"MB";0;0;0;0;0;0;0;0;0;0;0.00323709441327597;0;0.0685858097505686;0.00293265583166009;0;0;0;0.0491439917083953;0;0;0;0;0;0;0;0;0;0.84814125697731;0;0;0;0;0;0;0;0;0
"MC";0;0;0;0;0;0;0;0;0;0;0.0172402395234778;0;0.140359929857809;0.116047515759886;0;0;0;0.1096587128054;0;0;0;0;0;0;0;0;0;0.606378933358684;0;0;0;0;0;0;0;0;0
"NZ";0;0;0;0;0;0;0;0;0;0;0.0375708622090554;0;0.35425346698319;0.397908816454525;0;0;0;0.084285243643116;0;0;0;0;0;0;0;0;0;0.12217796280212;0;0;0;0;0;0;0;0;0
"OZ";0;0;0;0;0;0;0;0;0;0.0954747387448157;0.009644389263255;0;0.0320230429845599;0.0486717910746449;0;0;0;0.209557486680333;0;0;0;0;0;0;0;0;0;0.154484419547105;0;0;0;0;0;0;0;0;0
"PZ";0;0;0;0;0;0;0;0;0;0;0.0238952642545639;0;0.0945743519121534;0.00802168195656011;0;0;0;0.676993348201677;0;0;0;0;0;0;0;0;0;0.114200566815025;0;0;0;0;0;0;0;0;0
"QA";0;0;0;0;0;0;0;0;0;0;0.00764001371013852;0;0.257962693604103;0.0402223028651553;0;0;0;0.555567531316615;0;0;0;0;0;0;0;0;0;0.105147182103423;0;0;0;0;0;0;0;0;0
"QB";0;0;0;0;0;0;0;0;0;0;0.011706437117097;0;0.19289930571874;0.0467275675588233;0;0;0;0.60363692667653;0;0;0;0;0;0;0;0;0;0.0793792794962667;0;0;0;0;0;0;0;0;0
"RZ";0;0;0;0;0;0;0;0;0;0;0.00938344483330813;0;0.114166599504359;0.0143473277711014;0;0;0;0.62915085575727;0;0;0;0;0;0;0;0;0;0.0793563319739888;0;0;0;0;0;0;0;0;0
"SZ";0;0;0;0;0;0;0;0;0;0;0.0121975283109507;0;0.145617814255953;0.0364602727613434;0;0;0;0.240398293029872;0;0;0;0;0;0;0;0;0;0.536100693995431;0;0;0;0;0;0;0;0;0
"TZ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
