"BRANCH";"AZ";"BZ";"CA";"CB";"CC";"CD";"CE";"CF";"CG";"CH";"CI";"CJ";"CK";"CL";"CM";"DZ";"EZ";"FZ";"GZ";"HZ";"IZ";"JA";"JB";"JC";"KZ";"LZ";"MA";"MB";"MC";"NZ";"OZ";"PZ";"QA";"QB";"RZ";"SZ";"TZ"
"CJ";0;0.00136976425636219;0.00338836421310648;0.00713719270420301;0.0121115997404657;0.00446975704707663;0.0532045274313316;7.20928555980102e-05;0.0922067623098551;0.253334294571408;0.132506668589143;0.163001946507101;0.0427510633696201;0.00259534280152837;0.0136255497080239;0.014202292552808;0.00735347127099704;0.00403719991348857;0.0104534640617115;0.0186720495998847;0.00446975704707663;0.00180232138995026;0.00360464277990051;0.00598370701463485;0.0190325138778747;0.00259534280152837;0.0373440991997693;0;0.00749765698219306;0.0648114771826112;0;0.0105976497729075;0.000504649989186072;0;0.000720928555980102;0.00454184990267464;0
"CK";3.74798545781642e-05;0.000862036655297777;0.00318578763914396;0.00895768524418125;0.00877028597129043;0.00603425658708444;0.025336381694839;3.74798545781642e-05;0.0628537161275814;0.255387729095611;0.0520969978636483;0.0552078257936359;0.172594730332446;0.0550579063753233;0.0307709606086728;0.0115437952100746;0.00798320902514898;0.0145047037217496;0.0142423447397024;0.0208387991454593;0.0056594580413028;0.00168659345601739;0.00382294516697275;0.00610921629624077;0.0233124695476182;0.00745849106105468;0.0577939357595292;0;0.00397286458528541;0.0657771447846782;0;0.00993216146321352;0.000712117236985121;0;0.00101195607361043;0.00644653498744425;0
"CL";0;0.000624503742561714;0.00158802380251407;0.0117495918421968;0.00909099019529124;0.00274781646727154;0.0187529552409246;2.67644461097878e-05;0.0553221101089313;0.104756042073709;0.0660903389271026;0.0262113142235188;0.0870201357849566;0.378484953920545;0.0711131333137061;0.00906422574918145;0.00454103435662732;0.00336339872779666;0.011901257036819;0.0136855534441381;0.00364888615296773;0.00144528008992854;0.00167723862288003;0.0035061424403822;0.010420291018744;0.00420201803923668;0.0334466361551981;0;0.0130164422913934;0.0362212170685794;0;0.00924265538991337;0.000490681512012776;0;0.000615582260525118;0.00594170703637288;0
"CM";0;0.00156310173753483;0.00527830007022631;0.0209772783906848;0.0325532927077906;0.00622975330176925;0.0345694674127268;0.00086083863806266;0.0670094918786671;0.190449221847178;0.0380807829100877;0.0264821149446118;0.144190471875496;0.0180549577509458;0.221597988356025;0.00484788075119498;0.00668282626917065;0.00441746143216365;0.0130031941644202;0.0165371633101511;0.00487053439956505;0.00124595066035385;0.00222005754026686;0.00450807602564393;0.0138413791541128;0.00428153954194323;0.0407312597693859;0;0.0112362095915547;0.0438801168928256;0;0.0101941417665315;0.00058899485762182;0;0.00088349228643273;0.00811000611648506;0
"DZ";0.000326646467149503;0.148353814442279;0.000799720660952231;0.000551919892769849;0.000540656221488832;0.0102048861806017;0.0534123292145842;2.25273425620347e-05;0.00956285691758372;0.00800847028080333;0.00471947826674626;0.00657798402811412;0.0136065149074689;0.00105878510041563;0.00112636712810173;0.616156610085491;0.00830132573410978;0.0138543156756513;0.00270328110744416;0.0064315563014609;0.00221894324236041;0.00209504285826922;0.00251179869566687;0.00575573602459986;0.0098106576857661;0.00218515222851736;0.0262668814273324;0;0.00316509162996587;0.0287786801229993;0;0.00787330622543112;0.000518128878926797;0;0.000473074193802728;0.0020161971593021;0
"EZ";0.000703962897014369;0.00136651621185142;0.00716385771667564;0.00513478818998716;0.0187999503085014;0.0254668930390492;0.0104352147086836;0.000165638328709263;0.0258395792786451;0.0941653898712162;0.00397531988902232;0.00695680980578906;0.0391734647397408;0.0158184603917346;0.00550747442958301;0.0226096318688144;0.362333844051514;0.0145761729264152;0.00948279431860533;0.0250942067994534;0.00749513437409417;0.00331276657418527;0.00277444200588016;0.00695680980578906;0.0428175079713446;0.0060043894157108;0.0540395047413972;0;0.00658412356619322;0.16290529628556;0;0.00546606484740569;0.000703962897014369;0;0.00124228746531947;0.00480351153256864;0
"FZ";0.00173448522362668;0.00853943044603423;0.0031586472123553;0.00593493186742548;0.0346786214998587;0.0157378211984018;0.0210521065960312;2.77074316873272e-05;0.13983940772594;0.119075458419457;0.0125348420953468;0.0323678216971356;0.0443817640767607;0.00142970347506608;0.0171176512964307;0.00213901372626166;0.0102295837789612;0.278293443867514;0.00502058662174368;0.0168627429249073;0.00232742426173548;0.00162919698321484;0.0027097868190206;0.00454401879672166;0.0301179782441246;0.00413949029408668;0.0873836980554924;0;0.00400649462198751;0.0842915486791867;0;0.00464376555079603;0.000986384568068847;0;0.000321406207572995;0.00274857722338286;0
"GZ";4.43846730846904e-06;0.000279623440433549;0.0143584417428973;0.0139501027505182;0.0134929406177459;0.0270391428431934;0.00885030381308726;0.000106523215403257;0.0252992636582735;0.00513530667589868;0.00682636272042538;0.009604843255527;0.0123833237906286;0.0408915993129253;0.0173632841107309;0.0185039702090074;0.0107055831480273;0.00218816438307524;0.0781969170406075;0.161817641132164;0.0376115719719666;0.00927195820739182;0.0226406217405006;0.0154414277661638;0.0681926117273183;0.0844684713474743;0.120886095613463;0;0.0305544089515009;0.117774730030226;0;0.0128626782599433;0.000940955069395436;0;0.00658224701845959;0.00577888443562669;0
"HZ";0;0.000122844086285686;0.00698573370677936;0.00308748136864691;0.00404566524167527;0.142048711775015;0.00240774409119945;0.000122844086285686;0.00921330647142646;0.00628142761207475;0.00499565950895124;0.00684651040898891;0.00979476847984538;0.0203429806889096;0.00954089070152163;0.0171244656282247;0.00554436309436064;0.00421764696247523;0.0210882348123761;0.375231356362505;0.0166658477060914;0.00380816667485627;0.0068137519859794;0.00690383764925556;0.0662129625079849;0.0237744254991565;0.0717573256023455;0;0.00855813801123614;0.112860956873536;0;0.0242330434212897;0.00139223297790444;0;0.00277627635005651;0.00520039965276072;0
"IZ";0.0446168595980399;0.00264540870676799;0.562318017186279;0.0104218450394148;0.00550387046374547;0.00454513173780271;0.00605425751012002;5.32632625523755e-05;0.0050067466799233;0.00420779774163767;0.00172217882252681;0.00294723386123145;0.00349762090760599;0.000798948938285633;0.00548611604289468;0.0256906469710958;0.00896598252964988;0.0013138271429586;0.0058767133016121;0.0309282011220794;0.0337156451956537;0.00259214544421561;0.0080605070662595;0.00438534195014559;0.0332362758326823;0.0358106668560472;0.070964420140615;0;0.00681769760670407;0.0503515375328457;0;0.00514878204672964;0.0036929195369647;0;0.00910801789645622;0.0034798664867552;0
